user,video_name,frame_index,hand_landmark,x_coords,y_coords
Cap,Cap_Phase1_60_L.mp4,177,0,14.228688,1015.64746
Cap,Cap_Phase1_60_L.mp4,177,1,175.15234,1012.0214
Cap,Cap_Phase1_60_L.mp4,177,2,312.45963,936.2938
Cap,Cap_Phase1_60_L.mp4,177,3,424.10147,858.4406
Cap,Cap_Phase1_60_L.mp4,177,4,514.8087,794.7477
Cap,Cap_Phase1_60_L.mp4,177,5,239.58035,794.62885
Cap,Cap_Phase1_60_L.mp4,177,6,318.09695,600.4428
Cap,Cap_Phase1_60_L.mp4,177,7,361.9303,481.15918
Cap,Cap_Phase1_60_L.mp4,177,8,391.87332,387.63904
Cap,Cap_Phase1_60_L.mp4,177,9,139.12819,755.7929
Cap,Cap_Phase1_60_L.mp4,177,10,196.5402,533.7928
Cap,Cap_Phase1_60_L.mp4,177,11,237.94675,391.2088
Cap,Cap_Phase1_60_L.mp4,177,12,267.852,288.36105
Cap,Cap_Phase1_60_L.mp4,177,13,48.0999,740.201
Cap,Cap_Phase1_60_L.mp4,177,14,86.91912,534.67426
Cap,Cap_Phase1_60_L.mp4,177,15,116.69217,399.1798
Cap,Cap_Phase1_60_L.mp4,177,16,139.60033,296.3883
Cap,Cap_Phase1_60_L.mp4,177,17,-19.519764,745.40875
Cap,Cap_Phase1_60_L.mp4,177,18,-1.4935203,589.0209
Cap,Cap_Phase1_60_L.mp4,177,19,9.743374,483.99124
Cap,Cap_Phase1_60_L.mp4,177,20,25.739424,402.24316
Cap,Cap_Phase1_60_L.mp4,178,0,58.61914,1033.9464
Cap,Cap_Phase1_60_L.mp4,178,1,238.17337,1023.1746
Cap,Cap_Phase1_60_L.mp4,178,2,375.49954,952.1108
Cap,Cap_Phase1_60_L.mp4,178,3,482.4389,864.96747
Cap,Cap_Phase1_60_L.mp4,178,4,573.10834,791.94684
Cap,Cap_Phase1_60_L.mp4,178,5,279.11722,766.32715
Cap,Cap_Phase1_60_L.mp4,178,6,355.32037,576.82367
Cap,Cap_Phase1_60_L.mp4,178,7,399.16315,459.87192
Cap,Cap_Phase1_60_L.mp4,178,8,431.4385,366.33304
